RRID	Resource Name	total mention count
11429	National Institute of Child Health and Human Development	1468
7517	University of Mississippi Department of Pharmacology	1365
8481	DTU	1364
7405	Institute of Aging - CIHR	1359
10775	MAPP	1351
6872	Institute for Laboratory Animal Research	1146
7886	REBASE	1101
6932	DARC - Database for Aligned Ribosomal Complexes	1056
12565	Brains On-Line	1013
8276	University of Texas M. D. Anderson Cancer Center	1012
6754	Diabetes in America	1005
12900	AASLD - American Association for the Study of Liver Diseases	969
12739	American Academy of Neurology	923
11675	University of Mississippi; Mississippi; USA	854
13209	American Association of Neurological Surgeons	830
4740	TPEHG DB	799
6772	High-dose Ursodiol Therapy of Primary Sclerosing Cholangitis	771
5678	NIGMS - YouTube	766
1499	Standardization of C-peptide measurements	763
11320	IST National Institute for Cancer Research; Genoa; Italy	762
1364	LPE	757
11703	University of South Florida College of Medicine; Florida; USA	735
5712	NIGMS Multimedia	730
6727	English Longitudinal Study of Ageing	707
12740	National Institute of Allergy and Infectious Diseases	705
1078	National Center for Health Statistics	687
6435	kFM-index	686
6709	ASN - American Society of Nephrology	679
6863	National Center for Research Resources - Primate Resources	667
11353	Ministry of Health and Welfare - Republic of Korea	656
4705	National Temporal Bone Pathology Resource Registry	652
11140	Catalan Ministry of Health	651
6837	NIMH CORTEX	621
3538	Quiron-Valencia Sample	616
2900	Development of a Specific-Pathogen-Free Baboon Colony	615
8557	Division of Nutrition, Physical Activity and Obesity	609
1534	HALT-C Trial	563
11618	University of California at Berkeley; California; USA	552
5166	The Guardian: Science	549
2427	ANOVA	537
3656	Global Assessment of Functioning	524
11684	University of Montana; Montana; USA	515
4724	National University of Malaysia; Selangor; Malaysia	496
12759	World Oranisation for Animal Health	475
11566	U.S. Department of Veterans Affairs	471
1464	ACME	469
5526	Ministry of Health; Rome; Italy	466
11405	National Center for Complementary and Alternative Medicine	461
8813	Dynamics of Health Aging and Body Composition (Health ABC)	432
11721	University of Texas Health Science Center at Houston; Texas; USA	427
383	TEDDY	416
5965	Dr.VIS - Human Disease-Related Viral Integration Sites	409
5532	French Ministry of Higher Education and Research	400
11537	St. Marianna University School of Medicine; Kawasaki; Japan	385
2459	University of Arizona; Arizona; USA	384
12838	Canadian Institutes of Health Research	382
2958	SHEsis: Analysis Tools For Random Samples	380
2515	University of Arkansas; Arkansas; USA	366
2399	DOMINE: Database of Protein Interactions	361
11514	Saint Louis University School of Medicine; Missouri; USA	358
9033	ACT	350
3718	Exacerbations of Chronic Pulmonary Disease Tool	347
11584	Tulane University School of Medicine; Louisiana; USA	339
12799	Index to Drug-Specific Information	336
36	R Manuals	335
3970	American Society of Transplantation	326
3912	Institute of Cancer Research	321
7993	Congress of Neurological Surgeons	320
12863	Meharry Medical College; Tennessee; USA	318
13327	Natural Sciences and Engineering Research Council of Canada	316
5647	UCSF Center for AIDS Prevention Studies (CAPS)	313
11461	NHLBI Division of Cardiovascular Sciences	311
11725	University of Texas System; Texas; USA	304
8976	Panel Study of Income Dynamics	298
12715	National Institute of Arthritis and Musculoskeletal and Skin Diseases	298
