RRID	Resource Name	total mention count
2846	International HapMap Project	2835
1461	NIDDK Inflammatory Bowel Disease Genetics Consortium	1701
13355	Longitudinal Studies of Aging	1506
7260	ALSPAC	1462
10617	European Collection of Cell Cultures	1450
12734	Intramural Research Program	1443
3016	CERAD - Consortium to Establish a Registry for Alzheimer's Disease	1386
3076	Haploview	1320
13028	Human Genome Project Information	1305
1757	PLINK	1287
7267	Cavalli lab: Chromatin and Cell Biology	1279
13359	Operational Criteria	1263
11416	National Human Genome Research Institute	1250
8730	Moffitt Cancer Center	1235
12977	American Spinal Injury Association	1159
6699	United States Renal Data System	1131
7626	DoOP - Databases of Orthologous Promoters	1125
10626	Hunt Biobank	1111
3043	Coriell Institute for Medical Research	1105
2576	Mouse HapMap Imputation Genotype Resource	1102
5422	International Agency for Research on Cancer	1083
4327	Biospecimens/Biorepositories: Rare Disease-HUB (RD-HUB)	1080
4517	NIGMS Human Genetic Cell Repository	1078
392	WILEY Interdisciplinary Reviews	1074
11691	University of Navarra; Pamplona; Spain	1056
6628	Orphanet	1046
1973	Wellcome Trust Case Control Consortium	1044
7262	American Epilepsy Society	1032
2008	National Hydrocephalus Foundation	1031
8173	Bioethics Institutes Database	1024
8930	Health and Retirement Study	1004
4510	KORA-gen	1001
716	Queens College, Neuroscience	988
8495	BCM ET	987
12745	GWAS: Catalog of Published Genome-Wide Association Studies	987
6996	Criminal Justice Drug Abuse Treatment Studies	964
6805	Diabetes Control and Complications Trial	951
4588	National Comorbidity Survey	934
2764	Coding Potential Calculator	931
6833	Physician Data Query	919
4004	Alzheimers Disease Genetics Consortium	917
8138	NIDA Networking Project: Facilitating information exchange and research collaboration	917
1257	SABER	912
8110	Athena	905
7000	Database of Genomic Variants: A curated catalogue of structural variation in the human genome	896
4718	PROMIS	867
13408	CBiS	864
13535	Foundation for Biomedical Research	860
9197	GENIE	848
3074	NIDDK - National Institute of Diabetes and Digestive and Kidney Diseases Obesity Resources	843
8623	TAGSNP	842
1584	An efficient P300-based brain-computer interface for disabled subjects	837
9084	QUANTO	826
1852	Welcome Trust	817
7654	Functional Coverage of the Proteome	807
3562	PheWAS Catalog	806
5859	American Urological Association	798
4655	PSP Association	796
5299	DONE: Detection of Outlier NEurons	786
5644	MATRICS - Measurement And Treatment Research to Improve Cognition in Schizophrenia	783
6698	NIMH Center for Collaborative Genetic Studies on Mental Disorders	782
7402	British Neuroscience Association	778
5041	Tissue Banks International - TBI	768
3873	DepressionTools.org Clinical Significance Calculator	754
13162	Colon CFR	754
4883	Organ Procurement and Transplantation Network	747
7449	Dartmouth Medical School Neuroscience	737
13345	Coordination and sustainability of international mouse informatics resources	731
6082	Zinc Finger Consortium Database	725
7079	Tetraodon Genome Browser	717
3001	Cambridge Cognition	708
4222	UAB Comprehensive Cancer Center Tissue Procurement Shared Facility	703
677	WHO Collaborating Centre for Drug Statistics Methodology	694
1482	NIH Chronic Prostatitis Symptom Index	692
249	CoGenT++	684
3476	SNAPE-pooled	681
7130	Focal Segmental Glomerulosclerosis in Children and Young Adults Interventional Study	681
8639	Diabetes Genes	679
7516	University of Minnesota Graduate Program in Neuroscience	675
4407	National Drug Abuse Treatment Clinical Trials Network	668
4495	Psychiatric Genomics Consortium	668
7339	Center for Inherited Disease Research	660
8337	Nature Supplements: Collections archive	656
1536	Longitudinal Assessment of Bariatric Surgery	654
8883	Swedish Twin Registry	646
3244	Coriell Cell Repositories	639
8806	Institute for Basic Research in Developmental Disabilities	637
4582	Community Tissue Services - CTS	631
6691	Functional Dyspepsia Treatment Trial	629
5881	Finnish Cancer Registry	615
7215	BACPAC Resources Center	613
7157	Census Dissemination Unit	608
7031	National Survey on Drug Use and Health	601
6451	Autoimmune Lymphoproliferative Syndrome Information	600
4471	Roswell Park Cancer Institute	599
12191	Golden Helix	597
508	Karmanos Cancer Institute	594
