RRID	Resource Name	total mention count
6472	NCBI	11324
2760	GenBank	9069
8539	QIAGEN	7364
12820	PDB	6160
5012	NCBI GEO DataSets	5317
4870	NCBI BLAST	5076
5780	UCSC Genome Browser	4047
8326	Cold Spring Harbor Laboratory	3344
2338	dbSNP	3239
4473	European Molecular Biology Laboratory; Heidelberg; Germany	2897
2344	Ensembl	2698
8515	FigTree	2556
12880	ExPASy	2286
6695	InterPro	2252
305	PyMOL	2066
8483	Metagenomes Used in The Statistical Analysis	2057
6865	HIA	1944
11823	TBLASTX	1930
4618	TAIR	1927
4726	Pfam	1867
7856	PINT	1828
3910	ZF-screens	1819
4801	NCBI BioProject	1815
5829	InterProScan	1757
4630	NCBI EST	1744
4891	NCBI Sequence Read Archive	1719
7073	Broad Institute	1719
4933	SGN	1576
6633	Ribosomal Database Project	1558
12813	SIFT	1529
3139	Primer3	1506
10519	Geneious	1491
3590	DTU Center for Biological Sequence Analysis	1484
4377	Velvet-SC	1480
10270	Phyre	1456
841	MRH	1452
4850	MARTA	1416
6675	GRIN	1410
3459	Protein Clusters	1390
3077	MAPPER - Multi-genome Analysis of Positions and Patterns of Elements of Regulation	1377
6507	Phytozome	1366
2105	SAMTOOLS	1355
2630	GitHub	1352
7854	PIDD	1351
3496	RefSeq	1335
3030	JASPAR	1334
11784	Wellcome Trust Sanger Institute; Hinxton; United Kingdom	1320
6876	Human Genome Variation Society: Databases and Other Tools	1316
5917	VectorBase	1312
14583	FastQC	1307
5910	Dryad	1302
667	MEGA Software	1298
3257	NCBI Protein	1296
7895	ILR	1286
37	TADS - Treatment for Adolescents with Depression Study	1282
2774	GeneDB	1266
665	Opera	1264
10236	WEBLOGO	1264
8420	BLAST Assembled RefSeq Genomes	1262
12761	NHLBI Exome Sequencing Project (ESP)	1255
2474	NCBI Genome	1254
5305	Hmmer	1242
7569	CIPRO: Ciona intestinalis Protein Database	1238
5688	TreeBASE	1233
3045	DOE Joint Genome Institute	1230
12751	GABI-KAT	1227
6641	IRD	1217
11803	GSV	1213
11475	Oak Ridge National Laboratory	1203
12803	TGD	1203
10942	LCB-DWH	1196
7548	Ashbya Genome Database	1195
12909	CAZy- Carbohydrate Active Enzyme	1190
7879	Protein-protein interfaces	1172
4860	NCBI Nucleotide	1171
11114	BGI; Shenzhen; China	1161
5858	DDW - Digestive Disease Week	1159
11371	Max Planck Institute for Biophysical Chemistry; Gottingen; Germany	1155
6423	SILVA	1151
5403	ChEA	1148
6549	FlyBase	1148
13189	PolyPhen: Polymorphism Phenotyping	1146
12837	TASSEL	1142
8493	EMBOSS	1140
10228	BEAST	1140
13035	TopHat	1138
7891	Rfam	1135
8979	Clinical Research Resource HUB	1134
4152	COBALT: Constraint-based Multiple Alignment Tool	1127
12954	RepeatMasker	1117
8440	COILS: Prediction of Coiled Coil Regions in Proteins	1106
7733	IMG	1100
7855	PIG - Pathogen Interaction Gateway	1099
3193	The Cancer Genome Atlas	1094
14597	Cufflinks	1085
7872	PPDB: Plant Proteomics Database	1081
3079	Magnaporthe comparative Database	1080
1591	Clustal Omega	1074
10836	National Institute of Genetics; Shizuoka; Japan	1074
622	ProGlycProt	1072
1010	BLASTP	1072
2155	SVA	1071
2917	ATGC: Montpellier bioinformatics platform	1068
1876	GATK	1064
6773	Ensembl Genomes	1056
8036	Genomatix Software: Understanding Gene Regulation	1051
10243	LIBSVM	1046
10246	PSIPRED	1046
2097	Spliceosome Database	1044
6515	European Nucleotide Archive	1043
11853	CLC Genomics Workbench	1043
8534	Gregor Mendel Institute	1034
6828	1000 Genomes: A Deep Catalog of Human Genetic Variation	1032
2265	Takifugu rubripes Genome	1031
8205	DADA	1031
13238	POLYPHEN	1027
4262	TFSEARCH: Searching Transcription Factor Binding Sites	1026
8136	Arabidopsis Biological Resource Center	1026
2077	Conserved Domain Database	1018
902	SoftBerry	1017
7038	Psort	1012
11931	Glimmer	1012
10522	PRABI	1007
6813	ShortRead	1003
11917	Phrap	1003
3067	DnaSP	1002
6729	Consensus CDS	1001
7140	DMAPS - A Database of Multiple Alignments for Protein Structures	1001
4455	PASHA	995
6445	CHASM/SNV-Box	995
2248	Brain Bee	994
12852	Mauve	991
1005	DSRC	990
8448	Caulobacter Cell Cycle Modeling	989
2830	Greengenes	987
11947	mothur	983
5033	NMDS - New Mexico Donor Services	979
6814	TaxoAssignement	979
12996	MEDIPS	977
10254	UnrealEngine2 Runtime Software	974
13059	CoNAn-SNV	974
3454	GCG/SeqWeb	972
2300	DBD: Transcription factor prediction database	969
7630	DSD: a database of dehydrogenase stereospecificities	969
8029	biolab - Bioengineering and Bioimages Laboratory	969
10988	NURD	966
8220	Online Macromolecular Museum	965
462	Genome BioInformatics Research Lab - gff2ps	963
11932	Glimmer-MG	963
1192	RDPipeline	958
1598	BLASTN	957
12841	United States Department of Energy	957
9404	SNPP	956
10946	CEAS	953
13470	Manipulate and Display a DNA Sequence	947
9054	SCOUT	946
10536	Pompep	946
12848	Michigan State University College of Veterinary Medicine	943
9095	HAPLOWSER	941
837	HAP 1	940
7583	CATH: Protein Structure Classification	940
5138	VFS	932
13007	HECTOR	930
12567	Oligo Factory	927
4097	UCSF Chimera	926
5673	Tree of Life Web Project	923
8924	Roadmap Epigenomics Project	918
5970	BASH4RfMRI	917
8425	TB Consortium Bias Removal Server	917
10973	GenomeStudio	917
103	Tissue Engineering Resource Center	916
2989	BioPerl	916
5485	Maq	916
3554	SEGS	915
11899	TopHat-Fusion	915
8597	Aquatic Habitats	909
6459	Jalview	905
12961	University of Queensland; Brisbane; Australia	905
1701	Chemistry Structures and 3D Molecules at 3Dchem.com	903
1164	Shimmer	899
13099	CSA - Catalytic Site Atlas	897
3387	NormFinder	891
13446	BGI-RISe - Beijing Genomics Institute Rice Information System	891
10709	ABySS	884
7211	Amblyomma Americanum (Lone Star Tick) cDNA Sequencing	880
7612	CR-EST - Crop ESTs	880
9194	GENEPOP	879
12770	HOMD	879
13429	REDIdb- RNA Editing Database	878
3591	Phenotree	874
13246	Evaluation Instruments Bank	872
13732	EchinoBase	871
4512	EuPathDB - Eukaryotic Pathogen Database Resources	870
11968	CELLO	870
7657	ET-TDT	869
7706	Horizontal Gene Transfer-DataBase	867
13094	Berkeley Drosophila Genome Project	863
11999	AACC	862
1888	HGMD	861
10882	kmer-SVM	859
7807	MOsDB: rice genome database	858
8617	Eukaryote Genes	858
13200	PolyPhen-2	857
6663	Rice Genome Annotation	855
10980	ABySS-Explorer	854
5181	Human Splicing Finder	852
5611	SAMtools Text Alignment Viewer	847
7217	Swami: The Next Generation Biology Workbench	845
7188	SDSC Biology Workbench	838
1800	CAROL	826
9303	MPDA	824
154	DESeq	822
9328	PLABSIM	820
3395	PPDB: Plant Promoter Database	819
2359	DDBJ - DNA Data Bank of Japan	815
11807	SynBrowse	815
8249	QIIME	811
8571	Roche NimbleGen	809
7232	Clusters of Orthologous Groups Analysis Ontology	808
2434	PROW	804
7183	ProLysED - Prokaryotic Lysis Enzymes Database	798
6454	HMS LINCS Database	792
2261	CPDB - the Circular Permutation Database	787
12802	edgeR	786
12938	National Science Foundation	786
5534	FASTX-Toolkit	784
12529	Base Pair Biotechnologies	784
5096	SoyBase	783
7361	BioEdit	782
6345	Recon x	780
6988	BacMap: Bacterial Genome Atlas	772
7441	SpBase - Strongylocentrotus purpuratus: the Sea Urchin Genome Database	770
7904	RPG - Ribosomal Protein Gene database	769
2118	Protein Quaternary Structure database	768
2120	National Center for Marine Algae and Microbiota	768
8450	SIMCOAL	765
4576	NASC	764
8417	Augustus: Gene Prediction	764
11839	Quake	763
1243	ERGO	760
752	Salk Institute for Biological Studies	757
1621	Human Gene Mutation Database	756
1305	MANOR	752
6109	PoSSuM	752
6281	Galaxy	752
9370	R/METASIM	743
12902	GENSCAN	742
12956	Human Microbiome Project	742
5671	BSMAP	740
5255	CLEVER Toolkit	736
4483	VAMPS	735
12746	AutoDock	734
10765	MISA	731
13159	BRAT	731
10818	CnD	728
5459	NGSQC	727
10739	TESS: Transcription Element Search System	724
1561	Distance Mapping	723
1299	SNM	722
13381	Phenylalanine Hydroxylase Locus Knowledgebase	721
