RRID	Resource Name	total mention count
1672	ATCC	14923
4633	Jackson Laboratory	10538
8426	Bio-Rad Laboratories	8981
2037	Addgene	8139
8406	Ambion Inc.	7740
3070	ImageJ	7599
8520	FlowJo	7205
9181	FISHER	6194
7369	Image-Pro Plus	5226
7370	Imaris	3390
5393	NEURON	2777
1847	FreeSurfer	2581
8914	MIALAB - Resting State Data	2430
2823	FSL	2074
7037	SPM	1960
2798	Graphpad Prism	1809
2881	Psychophysics Toolbox	1543
7292	EEGLAB	1475
5429	practiCal fMRI: the nuts and bolts	1456
2551	SRI24 Atlas: Normal Adult Brain Anatomy	1411
11772	Wake Forest University; North Carolina; USA	1366
448	Talairach Daemon	1301
3007	ADNI - Alzheimer's Disease Neuroimaging Initiative	1285
9520	fMRI-CPCA	1277
14305	Amira 3D analysis	1261
5619	3D Slicer	1222
1775	Neurolucida	1218
2721	GENSAT	1214
3053	Parametric Time Warping	1201
8800	BrainVoyager: Talairach Brain Atlas	1152
4314	MicroBrightfield, Inc.	1145
5283	Oxford Centre for Functional MRI of the Brain	1133
13618	OsiriX Medical Imaging Software	1090
8315	Brain Connection	1086
6142	TraDES	1063
5836	AMAT	1060
1812	Neuro-Imaging Platform	1058
6485	COLT-Cancer	1045
9613	SVV	1037
7570	BSD - Biodegradative Strain Database	1035
7077	Low Resolution Brain Electromagnetic Tomography	1024
8833	Channelrhodopsin-2 enables optical activation of neurons	1017
7546	ADDA - Automatic Domain Decomposition Algorithm	1016
3876	ORBITO	1014
6777	Nex-StoCT	998
1019	Illuminator	997
1458	Eddy Lab Software	989
2619	vis: SPM Visualized Statistics toolbox	988
11820	GPU-BLAST	984
9020	Digital Ageing Atlas	977
2592	Spatial Statistical Parametric Mapping	955
1090	CUDA-EC	954
2680	Simtk.org	950
3681	Mini-Mental State Examination	950
12707	NeuroImage	941
2602	TractoR: Tractography with R	931
858	I/OWA	928
5435	AllenInstitute - YouTube	925
2816	Temporal-Lobe: Hippocampal - Parahippocampal Neuroanatomy of the Rat	882
7208	GRAPPA: Genome Rearrangements Analysis under Parsimony and other Phylogenetic Algorithms	864
1643	ExploreDTI	850
7353	Advanced 3D Visualization and Volume Modeling	848
5927	Analysis of Functional NeuroImages	839
10457	TREES toolbox	833
10587	icy	832
7378	WFU PickAtlas	784
9530	BESA	779
9548	CoCoMac-Paxinos3D viewer	774
2321	Multiple Correlation Function Tool	768
1049	Show of Hands	767
2544	SOCK	766
6329	Embryo Imaging	759
2227	4D Atlases Construction	750
4579	Psychology Wiki: Neuroinformatics	743
7308	Neural Simulation Language	732
13225	CUDA-SPHERE-FWD-MEEG	726
306	GraphPad	722
5358	ADHD-200 Sample	720
3182	GNU Image Manipulation Program	705
8606	Blender	702
2403	MRIcron	680
6594	Neurobiological Image Management System	675
8289	BrainNavigator	674
5437	INCForg - YouTube	673
1581	EEG Database	671
4586	DISCO	667
7243	Avian Brain	665
1818	NeuroExplorer	653
2677	AxioVision	641
5390	Whole Brain Atlas	636
3086	NeuroMab	629
1585	Project BCI - EEG motor activity data set	615
13286	Allen Reference Atlas	613
1996	XPP-Aut: X-Windows Phase Plane plus Auto	611
6908	PRoNTo	609
13022	Brain Explorer Atlas and Teaching Tool	609
7307	MCell: A Monte Carlo Simulator of Cellular Microphysiology	601
8704	Institute for Neuroinformatics: Cortex 3D	599
9550	Connectivity Toolbox	594
9546	CURRY 7	590
4083	American Psychological Association	588
6212	Brain Test	583
1398	MRI Studio	581
7271	ModelDB	578
2591	Segmentation Validation Engine	573
1183	ActionPotential.com	572
1337	Imagescience: Imaging Conferences Database	570
2526	Stereo Investigator	568
8058	SciPy	559
5972	MNE - Minimum Norm Current Estimates	558
1452	EEGbase	548
8500	Emergent	547
8915	NSG Portal - The Neuroscience Gateway	546
5895	ViBE-Z	542
8264	MRIcro Software	535
5989	ARCTIC	533
2748	NUTMEG	528
2391	MINC	527
8925	DICOM standard	525
2484	MNI N3	524
5414	NIFSTD	515
2023	MEDx	512
3263	BrainWeb - Simulated Brain Database	512
2970	University of Bergen Computational Biology Unit	511
2990	Allen Developing Mouse Brain Atlas	507
10247	Johns Hopkins University; Maryland; USA	506
1379	Cellular Scale	505
8551	Classifier Visualization in R	505
5847	Brains Matter	504
423	Scribe	502
4020	McEwen Centre for Regenerative Medicine	495
8815	Clinical Research Study Investigators Toolbox	494
2470	iBEAT	492
13621	The MNI AutoReg Software Package	489
416	NICHD Developmental Neuroethology - Laboratory of Comparative Ethology	484
661	MEG Tools	483
5462	Laboratory of Neuro Imaging - YouTube	477
3629	Common Upper Mammalian Brain Ontology	467
1622	MATLAB	465
3297	IMOD	458
5081	cortex var	458
13138	3D Brain	453
6495	Tucker-Davis Technologies	450
7416	Allen Human Brain Atlas	445
1953	Group ICA of fMRI Toolbox	442
7293	Atlases of the Brain	442
6942	NIH Human Connectome Project	441
8582	Functional Brain Mapping Lab	441
9459	DOTS WM tract segmentation	436
9603	Mango	436
801	aTag Generator	434
2368	MetaMorph Microscopy Automation and Image Analysis Software	431
9605	MarsBaR region of interest toolbox for SPM	428
6322	TARDIS	424
5163	Biomedical Informatics Research Network	423
1922	Laboratory of Neuro Imaging	419
9453	CCSeg - Corpus Callosum Segmentation	419
1633	Research Services Branch National Institutes of Mental Health	414
8633	NumPy	414
4493	Foundation for the National Institutes of Health	411
7345	PhysioNet	406
805	Mind Research Network - COINS	404
2282	International Neuroinformatics Coordinating Facility	397
6491	Allen Institute for Brain Science	393
5967	Atlas of the Brain	392
1951	Keypoint	385
9641	REST: a toolkit for resting-state fMRI	382
4849	FieldTrip	381
3840	BIOIMAGE-NMD	379
4459	Network Science	378
9575	FIV	371
2454	Network Based Statistic Toolbox	369
7109	Cambridge Brain Activation	368
415	Micro-Manager	367
9460	DTI Fiber Tract Statistics	365
3503	Gene Cloud: Exploring Connections in the Mouse Genome	362
2865	SPSS	360
2521	Presentation	355
7198	Audacity: Free Audio Editor and Recorder	353
14199	Adobe Photoshop	353
7358	CellProfiler Image Analysis Software	351
8759	Kravitz Dataset1	351
7455	Johns Hopkins University Neuroscience	345
7291	Function BIRN	342
2457	Numerical Fibre Generator	339
2963	NEST	339
2554	Signed Differential Mapping	334
7432	Interagency Modeling and Analysis Group	328
3141	Neuroimaging Informatics Technology Initiative	327
7091	Neurodatabase.org	327
6979	Gait Dynamics in Neuro-Degenerative Disease Data Base	326
7765	LPFC: A Library of Protein Family Cores	323
1476	Harvard - Oxford Cortical Structural Atlas	319
8394	Python Programming Language	319
8848	Allen Mouse Brain Connectivity Atlas	318
2069	Cell Signaling and Neuroscience: Pathway Slides and Charts	312
2285	Fiji	312
2445	MultiTracer	312
7270	Neuron Morpho	312
9514	Subject Order-Independent Group ICA	312
8624	MatPlotLib	310
3393	Volume image object AnNOtation System	306
4757	ANTS - Advanced Normalization ToolS	306
7996	Dana Foundation: BrainWeb	304
142	Nifti-Importer for WEKA	302
2465	AutoQuant	302
13349	aGEM	291
13273	SPM Anatomy Toolbox	285
13110	FastICA	283
749	Visages Research Equipment Software	278
9468	EEG human categorization data	277
13578	Dend	277
13149	Djavad Mowafaghian Centre for Brain Health	272
2381	Neuroscience Course - Atlas Images	268
6925	DIStributions of SPINEs	266
13057	BrainVoyager	266
9644	SPM SS - fMRI functional localizers	264
1594	Human Brain Connectivity Database	263
5375	PRISM	263
2092	Statistical non-Parametric Mapping	261
8957	OntoNeuroLOG	261
2555	Sleuth	260
2815	Microcal Origin	260
2715	PyNN	259
5944	Automated Image Registration	258
9449	C8: Corpus Callosum Computations	252
10638	MOCA	252
6638	Debian	250
9581	GMAC: A Matlab toolbox for spectral Granger causality analysis of fMRI data	250
9602	SR Research EyeLink Eye Trackers	249
5400	SciCrunch Registry	248
6601	National Biomedical Electron Paramagnetic Resonance Center	248
1426	Center for In Vivo Microscopy	246
34	Patchmaster	244
2727	Rodent Brain WorkBench	244
8020	Buzsaki Lab	243
2311	MGDM: Multi Geometric Deformable Model	242
1965	MNI brain and the Talairach atlas	241
2486	MRI Digital Projection System	241
4042	RFMRI.ORG	241
6949	Physiobank	241
3537	Neuro Bureau - Berlin Mind and Brain Sample	240
3488	Savant	239
10984	Australian Synchrotron	237
712	BRAINnet-Brain Research And Integrative Neuroscience Network	236
13260	Kennedy Krieger Institute: Diagnoses/Disorders	235
2356	BrainVision Analyzer	234
2998	BRIAN Simulator	234
5019	Neurologic AIDS Research Consortium	234
8467	Cytopathology Foundation	233
29	Dipy	232
5968	Publish or perish	232
8189	Foundational Model Explorer	229
1724	Experimental Network for Functional Integration: A European Network of Excellence for Data Integration and Systems Biology	228
7371	MIPAV: Medical Image Processing and Visualization	228
2429	Measure Projection Toolbox	226
2884	Retina Project	226
4334	Nathan S. Kline Institute for Psychiatric Research; New York; USA	225
2668	Volocity 3D Image Analysis Software	221
6274	neuroelectro	220
6770	BRAIN Initiative	220
608	Model: Hebbian Mirror Neuron System (H-MNS) (Keysers - Perrett)	215
2978	Allen Mouse Brain Atlas	215
3670	NIH Blueprint for Neuroscience Research	214
1149	Insight Segmentation and Registration Toolkit	212
2074	NeuronJ: An ImageJ Plugin for Neurite Tracing and Quantification	212
3220	Template-O-Matic Toolbox	208
5981	ABC (Atlas Based Classification)	208
12859	National Institute on Deafness and Other Communication Disorders	204
1964	ParaVision	203
1063	SERVA	202
6316	General Neural Simulation System	202
12	Offline Sorter	200
5017	Brain-Net	199
3069	brainmap.org	198
954	August Pi i Sunyer Biomedical Research Institute; Barcelona; Spain	196
1410	Center for EPR Imaging in Vivo Physiology	195
9068	SVCC	189
1674	NIDAG: Neuroimaging Data Access Group	188
2242	Fly EM	188
2168	Cell Centered Database	186
3170	MAP Software	186
9590	LDDMM	186
4888	Anatomy Atlases	185
12150	fMRI Joystick System	184
1948	International Consortium for Brain Mapping	183
13587	Spike Train Computational Neuroscience Portal	183
3430	NITRC	182
7053	MRM NeAt (Neurological Atlas) Mouse Brain Database	182
192	Acquisition and Analysis for Electron Tomography	181
1935	National Center for Microscopy and Imaging Research: ImageJ Mosaic Plug-ins	180
4817	TrackVis	180
8314	IEEE	180
9045	FASTER	178
13736	Brain RNA-Seq	177
4841	Brain Connectivity Toolbox	176
1435	NIH Center for Macromolecular Modeling and Bioinformatics	175
4257	HHMI Janelia Farm Research Campus	175
325	IGOR Pro	173
1856	San Diego Supercomputer Center	173
2372	DPARSF	173
3678	Clinical Dementia Rating	173
8887	JIST: Java Image Science Toolkit	173
2720	CRE Driver Network	172
1988	International Society for Magnetic Resonance in Medicine	171
3833	Elephant	171
8409	An Open-Source MATLAB-to-Python Compiler	171
760	Disease Genes Conserved Sequence Tags Database	170
1893	Vascular Modeling Toolkit	169
2572	peak nii	169
2505	Non-Rigid Image Registration Evaluation Project	168
7720	Computational Hot Spots of Protein Interfaces	168
8656	Philips	168
1806	Neural Ensemble - NeuroTools	167
5918	SynDB: Synapse DataBase	167
561	BAMS Connectivity	165
3392	Mouse Biomedical Informatics Research Network	165
9567	E-Prime	165
7442	University of Illinois at Urbana-Champaign; Beckman Institute for Advanced Science and Technology	163
7360	DCMTK: DICOM Toolkit	162
5547	Chronux	161
6164	Knime	160
9618	eConnectome	160
1933	Swartz Center for Computational Neuroscience	159
2926	Advanced Neuroscience Imaging Research Laboratory Software Packages	159
4834	NIF Data Federation	159
5606	Brain Basics	159
606	Zebrafish Brain Atlas	158
6103	W. M. Keck Foundation	158
13201	NHANES	158
1676	Virtual Health Library	157
2010	ITK-SNAP	157
8642	xjView: A Viewing Program For SPM	156
9634	Paradigm	155
5016	Short Time-series Expression Miner (STEM)	153
8487	Structural Brain Mapping Group	153
1755	International Neuroinformatics Coordinating Facility: Blue Gene/L Access	151
7276	SenseLab	151
8888	Functional Analysis of Diffusion Tensor	151
9446	BrainNet Viewer	151
8629	Grid Enabled Molecular Science Through Online Networked Environments	150
2055	Medical Image Processing and Visualization	149
8267	Ion Simulator Interface	149
5279	DTI White Matter Atlas	147
6260	Computerized Anatomical Reconstruction and Editing Toolkit	147
8331	Institute of Neuroinformatics	147
9539	Brainsight	147
6089	MIALAB - Medical Image Analysis Lab	146
9540	Brainwaver	146
2432	Confocal Microscopy Image Gallery - Rat Brain Tissue Sections	145
4186	NeuroMatic	144
5528	Wiring the Brain	144
5608	CRCNS	144
9639	Program for optimal design of blocked fMRI experiments	144
2629	OMERO	143
8066	International Consortium of Brain Mapping DTI-81 Atlas	143
9604	Manually Labeled MRI Brain Scan Database	142
13266	Reconsolidation	141
9481	Functional ROI Atlas	140
2310	MCIC	139
8428	BioSig: An Imaging Bioinformatics System for Phenotypic Analysis	139
8593	World Precision Instruments	139
13258	Long-term Recordings of Gait Dynamics: Unconstrained and Metronomic Walking	139
2386	Concierge	138
7110	IBASPM: Individual Brain Atlases using Statistical Parametric Mapping Software	138
618	Gatsby Charitable Foundation	137
2633	JCB DataViewer	137
2981	Edinburgh Mouse Atlas Project	137
8453	Connectivity Maps Web Services	137
9464	Diffusion MRI - In-vivo and Phantom Data	137
6225	NON-RED	135
1661	Functional Anatomy of the Cerebro-Cerebellar System (FACCS)	134
7298	Stereotaxic MRI Brain Atlas of Monkey	134
9474	Fiber Tracking Tool	134
1769	Journal of Cerebral Blood Flow and Metabolism	133
6106	Centre for Neuro Skills	133
9442	Brain Catalogue	133
10534	Brains Lab	133
5993	Automatic Registration Toolbox	132
7354	BrainVISA / Anatomist	132
2999	Allen Institute for Brain Science Transgenic Mouse Study	131
8372	Hippocampal Slice Wave Animations	131
