6524,6740,University of Quebec Hospital Centre; Quebec; Canada
3671,8112,University of Sherbrooke Hospital Centre; Quebec; Canada
8552,11604,University Hospital Erlangen; Bavaria; Germany
1985,11686,University of Montreal Hospital Centre; Quebec; Canada
6573,11102,ATR; Kyoto; Japan
3808,11115,BHSAI; Maryland; USA
8656,11125,Buck Institute; California; USA
1886,11137,Carnegie Institution for Science
9411,11244,Fraunhofer Institute of Molecular Biology and Applied Ecology
5806,11272,Harvard Stem Cell Institute
2595,11305,Institute for Systems Biology; Washington; USA
2914,11311,Institute of Experimental Biology and Technology; Oeiras; Portugal
7735,11319,International Prevention Research Institute
9271,11377,Max Planck Institute for Infection Biology; Berlin; Germany
8422,11380,Max Planck Institute of Biochemistry; Martinsried; Germany
8422,11404,National Institute of Health and Medical Research; Rennes; France
4319,11447,National Medicines Institute; Warsaw; Poland
7991,11477,Osaka Medical Center for Cancer and Cardiovascular Diseases; Osaka; Japan
8092,11485,Pasteur Institute
9205,11487,Queensland Institute of Medical Research
3430,11760,VIB; Flanders; Belgium
5875,12775,Institute of Molecular and Cell Biology; Singapore; Singapore
4695,14052,University of Rochester School of Medicine and Dentistry; New York; USA
144,14048,McGill University Health Centre; Quebec; Canada
205,14050,Montefiore Medical Center; New York; USA
2321,11417,National Institutes of Health
7989,13773,"Universidade Federal do Ceara, Centro Ciencias Agrarias"
3169,11132,California Academy of Sciences
3546,11144,Central Institute of Mental Health; Mannheim; Germany
4493,11275,Health Care Organization
7243,11345,Liverpool School of Tropical Medicine; Liverpool; United Kingdom
1843,13749,University of South Florida Center for Biological Defense
9975,11281,Howard Hughes Medical Institute
5341,11282,Helmholtz Center Munich
2350,11366,Max-Planck-Gesellschaft
1291,11085,Agency for Science Technology and Research
491,11095,Argonne National Laboratory
5278,11103,Australian National Fabrication Facility
944,11123,Brookhaven National Laboratories; New York; USA
5308,11336,Lawrence Berkeley National Laboratory
6851,1064,University at Buffalo School of Medicine and Biomedical Sciences; New York; USA
7377,15037,Baylor College of Medicine; Houston; Texas
824,1086,Australian National University; Acton; Australia
721,1088,Monash University; Melbourne; Australia
3541,1099,Catholic University of Leuven; Flemish Brabant; Belgium
3857,1552,Karlsruhe Institute of Technology; Karlsruhe; Germany
1090,3114,University of Colorado Boulder; Colorado; USA
3466,14238,Heinrich Heine University Dusseldorf; North Rhine-Westphalia; Germany
4879,1718,Kent State University School of Biomedical Sciences; Ohio; USA
7709,1698,Kent State University; Ohio; USA
